"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R35","0805_R","71.75mm","6.445mm","71.75mm","6.445mm","71.75mm","5.555mm","T","90","10",
"R36","0805_R","36.25mm","7.5mm","36.25mm","7.5mm","36.25mm","6.61mm","T","90","100K",
"R37","0805_R","68.25mm","6.445mm","68.25mm","6.445mm","68.25mm","7.335mm","T","270","100K",
"R38","0805_R","36.0mm","18.25mm","36.0mm","18.25mm","36.0mm","19.14mm","T","270","100K",
"R39","0805_R","68.25mm","17.023341mm","68.25mm","17.023341mm","68.25mm","16.133341mm","T","90","100K",
"R40","0805_R","33.25mm","18.25mm","33.25mm","18.25mm","33.25mm","19.14mm","T","270","10",
"R41","0805_R","71.75mm","17.023341mm","71.75mm","17.023341mm","71.75mm","16.133341mm","T","90","10",
"R42","0805_R","14.6mm","68.0mm","14.6mm","68.0mm","14.6mm","68.89mm","T","270","51K",
"R43","0805_R","14.6mm","63.6mm","14.6mm","63.6mm","14.6mm","64.49mm","T","270","47K",
"R45","0805_R","14.75mm","59.5mm","14.75mm","59.5mm","14.75mm","58.61mm","T","90","1K",
"R47","0805_R","16.75mm","72.0mm","16.75mm","72.0mm","16.75mm","72.89mm","T","270","1K",
"R48","0805_R","25.6mm","59.4mm","25.6mm","59.4mm","25.6mm","58.51mm","T","90","1K",
"R49","0805_R","24.11mm","71.4mm","24.11mm","71.4mm","23.22mm","71.4mm","T","0","1K",
"R50","0805_R","36.0mm","41.31168mm","36.0mm","41.31168mm","36.0mm","42.20168mm","T","270","10",
"R51","0805_R","71.75mm","36.40168mm","71.75mm","36.40168mm","71.75mm","35.51168mm","T","90","10",
"R52","0805_R","32.75mm","41.31168mm","32.75mm","41.31168mm","32.75mm","40.42168mm","T","90","100K",
"R53","0805_R","68.25mm","36.40168mm","68.25mm","36.40168mm","68.25mm","37.29168mm","T","270","100K",
"R54","0805_R","33.5mm","49.0mm","33.5mm","49.0mm","33.5mm","49.89mm","T","270","100K",
"R55","0805_R","68.25mm","46.230019mm","68.25mm","46.230019mm","68.25mm","45.340019mm","T","90","100K",
"R56","0805_R","36.6mm","49.0mm","36.6mm","49.0mm","36.6mm","49.89mm","T","270","10",
"R57","0805_R","71.75mm","46.230019mm","71.75mm","46.230019mm","71.75mm","45.340019mm","T","90","10",
"U1","SO-4_4.4x3.6mm_P2.54mm","22.0mm","54.0mm","22.0mm","54.0mm","18.85mm","55.27mm","T","0","LTV-357T",
"U2","SO-4_4.4x3.6mm_P2.54mm","11.0mm","49.8mm","11.0mm","49.8mm","7.85mm","51.07mm","T","0","LTV-357T",
"U3","SO-4_4.4x3.6mm_P2.54mm","11.0mm","25.75mm","11.0mm","25.75mm","7.85mm","27.02mm","T","0","LTV-357T",
"U4","SO-4_4.4x3.6mm_P2.54mm","11.0mm","44.2mm","11.0mm","44.2mm","7.85mm","45.47mm","T","0","LTV-357T",
"U5","SO-4_4.4x3.6mm_P2.54mm","11.0mm","38.15mm","11.0mm","38.15mm","7.85mm","39.42mm","T","0","LTV-357T",
"U6","SO-4_4.4x3.6mm_P2.54mm","11.0mm","32.1mm","11.0mm","32.1mm","7.85mm","33.37mm","T","0","LTV-357T",
"U7","SO-4_4.4x3.6mm_P2.54mm","17.8mm","9.0mm","17.8mm","9.0mm","14.65mm","10.27mm","T","0","LTV-357T",
"U8","SO-4_4.4x3.6mm_P2.54mm","17.8mm","17.0mm","17.8mm","17.0mm","14.65mm","18.27mm","T","0","LTV-357T",
"U9","SOIC-8_150MIL","27.25mm","4.0mm","27.25mm","4.0mm","24.65mm","5.905mm","T","270","IR2104",
"U10","SOIC-8_150MIL","36.75mm","29.5mm","36.75mm","29.5mm","34.15mm","31.405mm","T","270","IR2104",
"U11","SOIC-8_150MIL","27.25mm","16.5mm","27.25mm","16.5mm","24.65mm","18.405mm","T","270","IR2104",
"U12","SOIC-8_150MIL","33.7mm","54.5mm","33.7mm","54.5mm","31.1mm","56.405mm","T","270","IR2104",
"U13","SOIC-8_3.9x4.9mm_P1.27mm","45.75mm","27.25mm","45.75mm","27.25mm","43.275mm","29.155mm","T","0","CC6902-10A",
"U14","SOIC-8_3.9x4.9mm_P1.27mm","46.0mm","56.0mm","46.0mm","56.0mm","43.525mm","57.905mm","T","0","CC6902-10A",
"U15","SOIC-14_150MIL","24.8mm","30.25mm","24.8mm","30.25mm","20.99mm","27.65mm","T","0","74HC00",
"U16","SOIC-14_150MIL","21.5mm","65.75mm","21.5mm","65.75mm","17.69mm","63.15mm","T","0","LM324",
"U17","SOIC-14_150MIL","24.8mm","43.2mm","24.8mm","43.2mm","20.99mm","40.6mm","T","0","74HC04",
"U18","SOT-89(SOT-89-3)","29.4mm","68.4mm","29.4mm","68.4mm","27.9mm","68.4mm","T","270","L78L05_SOT89",
"C13","CP_Elec_8x10.5","72.5mm","69.5mm","72.5mm","69.5mm","76.2mm","69.5mm","B","180","100uF 50V",
"C15","CP_Elec_8x10.5","72.5mm","59.5mm","72.5mm","59.5mm","76.2mm","59.5mm","B","180","100uF 50V",
"TP2","TestPoint_Pad_D1.0mm","21.0mm","1.75mm","21.0mm","1.75mm","21.0mm","1.75mm","B","0","H1INL",
"TP3","TestPoint_Pad_D1.0mm","24.25mm","23.0mm","24.25mm","23.0mm","24.25mm","23.0mm","B","0","H1INR",
"TP4","TestPoint_Pad_D1.0mm","31.25mm","28.0mm","31.25mm","28.0mm","31.25mm","28.0mm","B","0","H2INL",
"TP5","TestPoint_Pad_D1.0mm","29.25mm","55.0mm","29.25mm","55.0mm","29.25mm","55.0mm","B","0","H2INR",
"TP6","TestPoint_Pad_D1.0mm","34.0mm","26.75mm","34.0mm","26.75mm","34.0mm","26.75mm","B","0","GNDP",
"TP7","TestPoint_Pad_D1.0mm","24.75mm","13.25mm","24.75mm","13.25mm","24.75mm","13.25mm","B","0","GNDP",
"TP8","TestPoint_Pad_D1.0mm","35.5mm","25.25mm","35.5mm","25.25mm","35.5mm","25.25mm","B","0","VIS1",
"TP9","TestPoint_Pad_D1.0mm","35.5mm","61.5mm","35.5mm","61.5mm","35.5mm","61.5mm","B","0","VIS2",
"TP10","TestPoint_Pad_D1.0mm","2.75mm","65.0mm","2.75mm","65.0mm","2.75mm","65.0mm","B","0","VID1",
"TP11","TestPoint_Pad_D1.0mm","2.75mm","62.5mm","2.75mm","62.5mm","2.75mm","62.5mm","B","180","VID2",
"TP12","TestPoint_Pad_D1.0mm","20.25mm","66.5mm","20.25mm","66.5mm","20.25mm","66.5mm","B","0","GNDS",
"TP13","TestPoint_Pad_D1.0mm","15.25mm","60.25mm","15.25mm","60.25mm","15.25mm","60.25mm","B","0","VMID",
"Through Hole Items ",
"SC1","M3_Screwhole","4.0mm","71.0mm","4.0mm","71.0mm","6.05681mm","72.1875mm","T","0","M3",
"SC2","M3_Screwhole","4.0mm","4.0mm","4.0mm","4.0mm","6.05681mm","5.1875mm","T","0","M3",
"SC3","M3_Screwhole","50.0mm","71.0mm","50.0mm","71.0mm","52.05681mm","72.1875mm","T","0","M3",
"SC4","M3_Screwhole","76.5mm","43.0mm","76.5mm","43.0mm","78.55681mm","44.1875mm","T","0","M3",
"F1","Fuseholder5x20","86.0mm","71.0mm","86.0mm","71.0mm","86.0mm","71.0mm","B","270","15A",
"J4","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","97.0mm","37.2mm","97.0mm","37.2mm","97.0mm","37.2mm","B","270","MOT1",
"J5","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","97.0mm","53.0mm","97.0mm","53.0mm","97.0mm","53.0mm","B","270","MOT2",
"J6","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","97.0mm","16.2mm","97.0mm","16.2mm","97.0mm","16.2mm","B","270","Ground",
"J7","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","97.0mm","69.0mm","97.0mm","69.0mm","97.0mm","69.0mm","B","270","DC in",
"K1","G2RL-1-E","89.0mm","4.0mm","89.0mm","4.0mm","89.0mm","4.0mm","B","90","G2RL-1-E",
